OID,FID_,X,Y,BCE_Firth_
526,526,1812804.155741795,5877554.459264451,1.526704401
527,527,1812839.773563833,5877543.582211125,1.535449998
528,528,1812794.573510149,5877538.013056024,1.518966662
529,529,1812852.293232728,5877530.519776586,1.624181834
530,530,1812848.418924992,5877483.516407363,1.596052608
531,531,1812813.6833742,5877464.649134902,1.563872706
532,532,1812816.366722637,5877371.839121995,1.589466119
533,533,1812656.727161159,5877306.569949059,1.546989235
534,534,1812733.674355624,5877273.707206285,1.513364117
535,535,1812720.272975987,5877257.351198141,1.525666665
536,536,1812737.070871685,5877217.768168294,1.606506258
537,537,1812767.513697493,5877216.45789207,1.506962957
538,538,1812731.286545461,5877196.874870274,1.611278275
539,539,1812704.874266884,5877187.384005575,1.612502821
540,540,1812758.940903306,5877186.550451105,1.616694558
541,541,1812663.019745578,5877178.278526573,1.590018871
542,542,1812367.864769334,5877176.501226615,1.591886086
543,543,1812407.718938597,5877175.493196577,1.545468348
544,544,1812646.844029147,5877169.441032463,1.404456065
545,545,1812808.534589768,5877225.555922033,1.204997648
546,546,1812626.664526938,5877159.977598514,1.483424982
547,547,1817554.283960318,5879386.505076008,1.435632202
548,548,1812606.138032956,5877145.14139233,1.470184829
549,549,1812586.053307257,5877131.082538941,1.447450006
550,550,1812573.844761742,5877121.417182421,1.506050006
551,551,1812471.546360072,5877132.917009903,0.72749604
552,552,1812544.393808286,5877105.77611288,1.461596758
553,553,1812501.313193883,5877102.078451941,1.497725945
554,554,1812341.683626047,5877087.39360268,0.272849998
555,555,1812252.366609345,5876951.158191052,0.579070884
556,556,1809608.120831917,5879242.225508052,1.460307075
